59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,51,47,52,52,52,52,52,52,74,53,58,58,58,58,58
59,59,59,59,59,59,59,59,59,59,59,59,59,59,48,52,52,52,60,61,61,61,66,52,53,58,58,58,58,58
59,59,59,59,59,59,59,59,14,59,59,59,59,48,52,74,52,52,68,72,72,73,52,52,53,58,58,58,58,58
49,49,49,49,49,49,49,49,64,49,49,49,49,52,52,52,52,52,64,52,52,77,52,75,56,58,58,58,58,58
52,47,52,52,80,52,52,52,64,52,47,47,78,52,52,67,63,63,73,52,52,52,75,56,58,58,58,58,58,58
52,52,52,60,61,61,61,61,69,62,52,52,52,52,52,52,47,52,52,52,52,75,56,58,58,58,58,58,58,58
52,79,52,68,69,69,69,69,69,70,52,52,52,47,52,52,52,52,52,74,75,56,58,58,58,58,58,58,58,58
52,52,52,68,72,72,72,72,72,73,52,52,81,52,52,79,75,55,55,55,56,58,58,58,58,58,58,58,58,58
52,52,67,72,52,52,52,52,52,52,52,52,52,52,52,75,56,58,58,58,58,58,58,58,58,58,58,58,58,58
52,52,52,52,52,47,52,52,47,52,52,52,52,75,55,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58
52,78,77,52,52,52,52,52,52,52,80,52,75,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
52,52,79,52,52,52,47,52,52,52,52,75,56,58,58,58,58,58,58,58,58,58,48,49,49,49,49,49,49,49
52,52,52,52,74,52,52,52,47,75,55,56,58,58,58,58,58,58,58,58,58,58,51,52,47,52,74,52,78,52
52,80,52,52,52,52,47,75,55,56,58,58,58,58,58,58,58,58,58,58,58,58,51,79,52,52,52,52,47,52
55,55,55,55,55,55,55,56,58,58,58,58,58,58,58,58,58,58,58,58,58,58,54,55,55,52,80,75,55,55
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,51,75,56,58,58
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,54,56,58,58,58
58,58,58,58,58,58,58,58,58,58,58,58,58,48,49,49,49,50,58,58,58,58,58,58,58,58,58,58,58,58
58,58,58,58,58,58,58,58,58,58,58,58,58,54,55,55,55,56,58,58,58,58,58,58,58,58,58,58,58,58
49,49,50,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,48,49,50,58,58,58,58,58,58,58
